date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-22T11:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T12:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T13:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T14:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T15:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T16:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T17:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T18:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T19:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T20:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T21:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T22:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-22T23:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T00:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T01:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T02:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T03:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T04:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T05:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T06:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T07:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T08:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T09:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T10:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T11:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T12:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T13:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T14:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T15:36:00-02:00[America/Sao_Paulo],BTC,226.32,226.32,226.32,226.32,0.6,0.0
2015-01-23T16:36:00-02:00[America/Sao_Paulo],BTC,226.32,215.0,215.0,230.0,0.6,-5.0018
2015-01-23T17:36:00-02:00[America/Sao_Paulo],BTC,215.0,215.0,215.0,215.0,0.600046,0.0
