Date,Symbol,Open,Close,Low,High,Volume BTC,Volume USD
2019-08-04 01-AM,BTC,10850.6,10853.1,10850,10880,51.44,559008.55
2019-08-04 12-AM,BTC,10809.9,10850.6,10809.9,10907.9,130.43,1417452.16
2019-08-03 11-PM,BTC,10835.9,10809.9,10785.4,10835.9,49.54,535259.25
2019-08-03 10-PM,BTC,10826.3,10835.9,10778.5,10844.5,97.83,1057592.91
2019-08-03 09-PM,BTC,10876.5,10826.3,10820.1,10900,101.24,1098583.78
2019-08-03 08-PM,BTC,10871.9,10876.5,10831.7,10876.5,119.72,1299629.6
2019-08-03 07-PM,BTC,10867,10871.9,10810.9,10928,371.33,4037655.27
2019-08-03 06-PM,BTC,10834.8,10867,10811.7,10894.5,238.15,2584371.99
2019-08-03 05-PM,BTC,10799.9,10834.8,10797.6,10850,172.24,1864411.77
2019-08-03 04-PM,BTC,10751,10799.9,10725,10841.2,194.26,2098848.08
2019-08-03 03-PM,BTC,10803.1,10751,10734.9,10818.5,156.76,1691394.43
2019-08-03 02-PM,BTC,10800,10803.1,10794.1,10825,44.17,477373.3
2019-08-03 01-PM,BTC,10747.9,10800,10747.9,10824.9,160.09,1728678.21
2019-08-03 12-PM,BTC,10760.2,10747.9,10698.6,10769.4,104.99,1126278.81
2019-08-03 11-AM,BTC,10785.2,10760.2,10760,10792.8,30.93,333349.37
2019-08-03 10-AM,BTC,10768.3,10785.2,10750,10800,61.65,664241.02
2019-08-03 09-AM,BTC,10790.1,10768.3,10725,10881,213.82,2311326.54
2019-08-03 08-AM,BTC,10840.8,10790.1,10750.8,10840.8,88.27,952545.83
2019-08-03 07-AM,BTC,10796,10840.8,10783.1,10840.8,82.42,890627.78
2019-08-03 06-AM,BTC,10790,10796,10771.3,10825,79.24,856102.9
2019-08-03 05-AM,BTC,10845.1,10790,10700.3,10860,235.65,2539951.09
2019-08-03 04-AM,BTC,10779.1,10845.1,10777.7,10850,176.88,1912173.46
2019-08-03 03-AM,BTC,10799,10779.1,10761.1,10838.8,176.77,1907628.51
2019-08-03 02-AM,BTC,10643.9,10799,10609.2,10840,564.94,6067082.44
2019-08-03 01-AM,BTC,10510.9,10643.9,10510.9,10665,386.3,4103028.89
2019-08-03 12-AM,BTC,10531.5,10510.9,10507,10550,52.64,554211.73
2019-08-02 11-PM,BTC,10525,10531.5,10515,10550,71.74,755503.26
2019-08-02 10-PM,BTC,10434.4,10525,10413,10527.4,172.87,1813082.66
2019-08-02 09-PM,BTC,10404.5,10434.4,10353.5,10450,190.63,1983124.76
2019-08-02 08-PM,BTC,10467.5,10404.5,10375,10467.9,139.72,1455745.73
2019-08-02 07-PM,BTC,10463.2,10467.5,10428.1,10479.2,145.45,1520721.67
2019-08-02 06-PM,BTC,10457.8,10463.2,10432.6,10490.6,191.91,2009227.22
2019-08-02 05-PM,BTC,10435.7,10457.8,10410,10477.7,298.47,3120578.35
2019-08-02 04-PM,BTC,10621.8,10435.7,10371.1,10665.4,1094.45,11502209.64
2019-08-02 03-PM,BTC,10592.2,10621.8,10547.8,10645,334.84,3551533.63
2019-08-02 02-PM,BTC,10539,10592.2,10512.1,10607.2,232.56,2456028.81
2019-08-02 01-PM,BTC,10560,10539,10518.8,10560,83.13,876008.17
2019-08-02 12-PM,BTC,10483.7,10560,10482,10571.9,141.28,1488201.55
2019-08-02 11-AM,BTC,10508.2,10483.7,10475.6,10541.9,89.98,945491.41
2019-08-02 10-AM,BTC,10469.9,10508.2,10467.3,10515.6,86.64,909275.37
2019-08-02 09-AM,BTC,10517.3,10469.9,10460,10550,143.3,1504545.39
2019-08-02 08-AM,BTC,10543.9,10517.3,10490,10545.9,196.5,2066043.84
2019-08-02 07-AM,BTC,10481.6,10543.9,10479.6,10580,334.87,3530428.23
2019-08-02 06-AM,BTC,10433.7,10481.6,10428.9,10546.3,296.17,3103635.2
2019-08-02 05-AM,BTC,10393.1,10433.7,10371.5,10444.2,182.75,1902238.74
2019-08-02 04-AM,BTC,10360.2,10393.1,10351.2,10400,110,1141553.5
2019-08-02 03-AM,BTC,10403,10360.2,10351.9,10413.8,105.91,1099669.29
2019-08-02 02-AM,BTC,10395.4,10403,10391.3,10424.2,49.12,511303.04
2019-08-02 01-AM,BTC,10390,10395.4,10379,10418.4,100.7,1047315.81
2019-08-02 12-AM,BTC,10408.9,10390,10327.9,10450,410.73,4267208.59
2019-08-01 11-PM,BTC,10399.9,10408.9,10383.1,10420.4,114.66,1192813.98
2019-08-01 10-PM,BTC,10425.8,10399.9,10373.2,10449,116.9,1216499.97
2019-08-01 09-PM,BTC,10409,10425.8,10380,10440,253.67,2639565.67
2019-08-01 08-PM,BTC,10290,10409,10289.9,10530,1317.01,13702994.68
2019-08-01 07-PM,BTC,10192.5,10290,10188.7,10379.9,699.86,7199334.7
2019-08-01 06-PM,BTC,10104.5,10192.5,10092.5,10268.8,762.47,7759766.3
2019-08-01 05-PM,BTC,10070.1,10104.5,10025,10121.9,196.54,1980819.3
2019-08-01 04-PM,BTC,10020.4,10070.1,10009,10086.8,178.76,1798021.76
2019-08-01 03-PM,BTC,9995.3,10020.4,9975,10034,134.72,1348089.47
2019-08-01 02-PM,BTC,10040,9995.3,9978,10040,183.86,1840218.44
2019-08-01 01-PM,BTC,10025.4,10040,10009.2,10058.1,104.03,1043725.54
2019-08-01 12-PM,BTC,9974.5,10025.4,9974,10050,258.03,2583992.37
2019-08-01 11-AM,BTC,9950,9974.5,9931.6,9975,38.79,386343.51
2019-08-01 10-AM,BTC,9961,9950,9914,9961,76.38,758649.08
2019-08-01 09-AM,BTC,9988,9961,9925,9988,276.05,2742476.42
2019-08-01 08-AM,BTC,9967,9988,9964.6,9998.5,58.93,588495.89
2019-08-01 07-AM,BTC,9957.2,9967,9944,9989.3,153.77,1532285.47
2019-08-01 06-AM,BTC,9922.3,9957.2,9882.4,9975,353.24,3501700.9
2019-08-01 05-AM,BTC,9986.9,9922.3,9906.7,9989.2,275.58,2740387.72
2019-08-01 04-AM,BTC,9999.9,9986.9,9950,10015,224.44,2238248.92
2019-08-01 03-AM,BTC,10041.5,9999.9,9979,10041.5,176.93,1771009.95
2019-08-01 02-AM,BTC,10026.9,10041.5,10009.2,10041.5,102.05,1022373.33
2019-08-01 01-AM,BTC,10041.4,10026.9,9996.5,10064.1,167.75,1680898.48
2019-08-01 12-AM,BTC,10090.1,10041.4,10037.2,10169,333.45,3369119.86
2019-07-31 11-PM,BTC,10007.8,10090.1,10000.6,10106,233.6,2351347.95
2019-07-31 10-PM,BTC,10054.7,10007.8,9978,10056.9,188.14,1883145.13
2019-07-31 09-PM,BTC,10020.6,10054.7,10020,10067.2,227.78,2287190.53
2019-07-31 08-PM,BTC,9997.5,10020.6,9997.5,10075,166.52,1671801.43
