date,symbol,open,close,low, high, volume
2015-10-21,BTC,272.19,269.06,265.0,272.83,6953.488077560004
2015-10-22,BTC,269.06,276.82,268.8,279.98,9658.333004430006
2015-10-23,BTC,276.82,281.0,275.79,281.24,7247.571423040002
2015-10-24,BTC,281.0,284.77,279.87,285.68,6157.449576489996
2015-10-25,BTC,284.72,287.29,283.28,295.89,10723.56753858998
2015-10-26,BTC,287.31,290.97,282.04,291.12,8119.1367956300055
2015-10-27,BTC,290.96,299.0,287.75,299.99,11224.837403690002
2015-10-28,BTC,299.0,304.07,296.88,308.49,15871.003823329993
2015-10-29,BTC,304.04,328.45,303.83,328.04,14003.561348460013
2015-10-30,BTC,328.15,332.63,316.49,336.95,15518.745875269979
2015-10-31,BTC,332.6,315.19,306.29,334.19,15611.321093040031
2015-11-01,BTC,315.0,327.22,311.44,331.89,11343.677192270017
2015-11-02,BTC,327.02,366.36,326.5,370.66,20994.830736109987
2015-11-03,BTC,366.37,424.0,366.37,424.0,42574.78964545003
2015-11-04,BTC,423.14,434.0,368.15,499.26,50103.7060836199
2015-11-05,BTC,432.58,365.0,352.0,449.28,26935.825659900038
2015-11-06,BTC,365.0,376.22,351.0,394.99,17595.924647209984
2015-11-07,BTC,376.21,387.4,372.24,391.88,8109.332334609996
2015-11-08,BTC,387.34,363.9,360.8,389.0,8774.180156959997
2015-11-09,BTC,363.86,377.0,363.0,386.71,10681.397169630027
2015-11-10,BTC,376.9,323.06,315.27,382.23,17571.378199300016
2015-11-11,BTC,319.04,320.12,293.32,326.99,17462.85503292
2015-11-12,BTC,319.32,339.48,317.18,344.91,15838.983464349996
2015-11-13,BTC,339.47,333.91,325.0,342.08,9688.774938290002
2015-11-14,BTC,333.83,336.38,329.4,339.56,6073.929639559995
2015-11-15,BTC,336.38,320.51,319.33,336.39,6933.422387300002
2015-11-16,BTC,320.18,339.0,316.12,339.0,8064.974761929996
2015-11-17,BTC,339.0,336.53,332.36,340.72,6672.050016310018
2015-11-18,BTC,336.53,333.99,330.0,337.98,5908.992240489993
2015-11-19,BTC,333.96,314.59,311.99,335.28,7680.324891350011
2015-11-20,BTC,314.54,320.72,311.23,324.96,9270.863075090001
2015-11-21,BTC,320.71,326.78,319.64,328.0,4380.9517836400055
2015-11-22,BTC,326.69,323.23,321.0,326.95,4018.8633103699967
